NÃºmero;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;CÃ³digo no fornecedor;Nome;Marca;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;;;SÃ©rie;Data de emissÃ£o;SituaÃ§Ã£o;Natureza;DescriÃ§Ã£o;CÃ³digo;Quantidade;Valor unitÃ¡rio;Valor total;Nome da Loja;Nome
129015;2;01/06/2026 00:18;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Esmalte Maritimo Direto Na Ferrugem Para Metal 900ml;EMF044409;1;62,28;62,28;EOV - Mercado Livre;EMF044409;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Decora Pinta Tudo 250ML Vermelho Cardinal;DPT04213025;1;67,74;67,74;Shopee Novo;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Microcimento 4,5KG Cinza Claro;LQ0440445;1;375,08;375,08;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA
129017;2;01/06/2026 00:20;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Corante Liquido Bisnaga Pigmento Super Forte Uma Gota 50ml;LP04020;1;28;28;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Cola Piso VinÃ­lico E Emborrachado AC10000 1KG;AC1000301;1;74,55;74,55;Tray;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Massa Fina Seca Parede 4KG Branco;PM0400104;1;198,63;198,63;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129019;2;01/06/2026 00:44;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Primer Promotor De Aderencia Grannistone 4kg;TPG0400104;1;136,8;136,8;EOV - Mercado Livre;TPG0400104;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Massa Flex Tapa Tudo 5000 - 90G;MF0400190;1;50,52;50,52;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Tinta ElÃ¡stica Smart Color Fosco 3,6L Branco Neve;SR0403336;1;536,3;536,3;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129021;2;01/06/2026 01:29;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Esmalte Maritimo Direto Na Ferrugem Para Metal 900ml Cinza Medio;EMF044309;1;62,28;62,28;EOV - Mercado Livre;EMF044309;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Decora Pinta Tudo 250ML Quartzo Rosa;DPT04303025;1;67,74;67,74;Shopee Novo;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Selante para Juntas Cimenticias DW240 Flex 420G - Preto;SE2401042;1;153,73;153,73;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129023;2;01/06/2026 01:30;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Bisnaga 420g Zerotrinca;ZT040420;3;38,55;115,65;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Esmalte MarÃ­timo Sobre Ferrugem 900G Amarelo - Pulo do Gato;EMF044609;1;79,13;79,13;Shopee Novo;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Chapisco Flex Resina AcrÃ­lica Elastment 3,6KG;CK0000036;2;208,98;417,96;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA
129025;2;01/06/2026 01:32;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Umi Block Cristal - Impermeabilizante para Pequenos Reparos 250ML;CUB0100025;1;229,81;229,81;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Grannistone Primer Promotor de AderÃªncia 4KG Off White;TPG0400104;1;147,74;147,74;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129027;2;01/06/2026 02:28;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Verniz AtÃ³xico 100ML;TV0100001;1;64,69;64,69;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Elastment Smart Cimento Additive - PolÃ­mero AcrÃ­lico ElastomÃ©rico 18KG;SA00000018;1;1.707,29;1.707,29;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129029;2;01/06/2026 02:28;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Filme 150ML Transfix;RF00150;1;97,06;97,06;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Kit Massa De Efeito Marmorite 4kg Branco Supremo + Cera De Acabamento;KITMARM1;1;402,99;402,99;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129033;2;01/06/2026 03:10;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Concreto Estrutural Industrial Cura Rapida Concre Fast 4kg;COF0400804;1;114,28;114,28;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;SMART CIMENTO;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT 2x Fixador de Pedras Hold Stone 1L + Borrifador Manual de CompressÃ£o PrÃ©via 2L Bestfer;KITBHS01;1;177,99;177,99;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;KIT Transfix Primer TF100 / TF200 / TF300 (150ML) + TF Lemone / TF Clean (200ML);KITTF0003;1;289,9;289,9;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129035;2;01/06/2026 03:18;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Resina Tira Mofo De Parede E Mdf Protetora - 900ml;LTPL900001;1;142,29;142,29;EOV - Mercado Livre;;-;LT SHINE;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Verniz AtÃ³xico 100ML;TV0100001;1;64,69;64,69;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Limpa Porcelanato Rejunte Desincrustante Concentrado Ivaclean 1L;LP0131901;1;136,7;136,7;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129037;2;01/06/2026 03:38;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Tinta Esmalte Maritimo Direto Na Ferrugem Para Metal 900ml Cinza Medio;EMF044309;1;73,27;73,27;EOV - Mercado Livre;EMF044309;IVA QUIMICA DO BRASIL LTDA;O PULO DO GATO;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT 2x Fixador de Pedras Hold Stone 1L + Borrifador Manual de CompressÃ£o PrÃ©via 2L Bestfer;KITBHS01;1;177,99;177,99;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Cera AtÃ³xica de Acabamento 700G;LC0000209;1;105,99;105,99;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129041;2;01/06/2026 04:08;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Kit 2 Removedor De Tintas Tira Tintas 500ml - Cristal;KITTT002;1;124,96;124,96;EOV - Mercado Livre;;-;CRISTAL;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Filme 150ML Transfix;RF00150;1;97,06;97,06;Obramil - Mercado livre;;;1;01/06/2026 09:45;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Marmorite 1KG Branco Supremo;LM0000101;1;159,28;159,28;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA
129043;2;01/06/2026 06:20;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;01/06/2026 09:50;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Verniz AtÃ³xico 100ML;TV0100001;1;64,69;64,69;Obramil - Mercado livre;;;1;01/06/2026 10:10;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;Tampa para tinta 3,6L  Americano Pratinta;TM0002;1;30;30;Shopee - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
129047;2;01/06/2026 07:06;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Limpa Privada Encardida Sem Esforco Wdc 1lt;IL0100003;1;150;150;EOV - Mercado Livre;IL0100001;IVA QUIMICA DO BRASIL LTDA;IVACLEAN;;1;01/06/2026 10:03;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Shampoo para Telhas Power Shower 5L Cristal;C2763;1;112,48;112,48;Obramil - Mercado livre;;;1;01/06/2026 14:28;Emitida DANFE;Venda de mercadoria a nÃ£o contribuinte;LT Shine Marmorite 4KG Base;LM0400004;1;186,89;186,89;Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA
