Número;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Código no fornecedor;Nome;Marca;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja;Nome;;Série;Data de emissão;Situação;Natureza;Descrição;Código;Quantidade;Valor unitário;Valor total;Nome da Loja
129495;2;05/06/2026 00:19;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Smart Resina 250ML Semi Brilho;SR0100025;1;70,21;70,21;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:45;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Transfer 150ml;RT00150;1;42,83;42,83;Shopee Novo
129497;2;05/06/2026 03:07;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Tapa Tudo 5000 Pote De 90g + Bisnaga Zero Trinca 420g Cor Branco;KTZ0020102;1;55,92;55,92;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;Elastment;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Massa Fina Seca Parede 4KG Branco;PM0400104;1;198,63;198,63;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Nex Floor Granito Líquido 1,250KG Marrom Imperial - Cristal;CNFGL1125;1;393,97;393,97;Shopee Novo
129499;2;05/06/2026 06:01;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;LT Shine Pasta Metalizada 200G Ouro;MP0081902;1;88,12;88,12;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Nex Floor Granito Líquido 1,250KG Branco Ceará - Cristal;CNFGL0125;1;393,97;393,97;Shopee Novo
129501;2;05/06/2026 06:11;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Sos Telhas Fita Liquida Furos Trincas Fissuras Drylevis 900g;SOS4004178B;1;199,04;199,04;EOV - Mercado Livre;-;-;-;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Cimento Elástico Elastment 20KG Azul Piscina;ED0420120;1;1.646,82;1.646,82;Shopee - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Removick Removedor de Transfer 150ml;RT00150;1;42,83;42,83;Obramil - Mercado livre
129503;2;05/06/2026 07:06;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Primer Promotor De Aderencia Grannistone 4kg;TPG0400104;1;126,8;126,8;EOV - Mercado Livre;TPG0400104;IVA QUIMICA DO BRASIL LTDA;LT SHINE;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Selante Para Juntas Cimentícias Dw240 Flex 420g Cinza;SE2440142;1;153,73;153,73;Shopee - Construlivre;-;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Kit Umidade P - Smart Resina 900ML + Massa Acrílica 4KG + Manta Elástica Acqua Zero Branco 4KG;MA0440023;1;480;480;Shopee Novo
129505;2;05/06/2026 07:08;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;2;24,96;49,92;EOV - Mercado Livre;-;-;-;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Smart Resina 900ML Fosca;SR0400009;1;164,44;164,44;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Perfect Glass Monocomponente 100G;PM0000101;1;76,13;76,13;Shopee Novo
129507;2;05/06/2026 07:33;Autorizada;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Massa Polimerica Cimento Pronto Cola Tijolos Blocos 2,5kg;TCB03010;1;24,96;24,96;EOV - Mercado Livre;-;-;-;;1;05/06/2026 11:09;Emitida DANFE;Venda de mercadoria a não contribuinte;Concre Fast 4KG;COF0400804;1;124,07;124,07;Mercado Livre - Construlivre;IVA QUIMICA DO BRASIL LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Hobby Art Decora Pinta Tudo 250ML Larimar;DPT04927025;1;67,74;67,74;Shopee Novo
212581;1;05/06/2026 08:01;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cimento Egípcio Estrutural Branco 25KG;CIM000001;1;119;119;EOV - Magalu;AN0440020;IVA QUIMICA DO BRASIL LTDA;DRYLEVIS;;2;05/06/2026 11:25;Autorizada;Venda de mercadoria a não contribuinte;Selante Para Juntas Cimenticias Dw240 Flex 420g Cinza;SE2440142;1;124,87;124,87;Mercado Livre - Construlivre;-;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Primer Promotor de Aderência para Plástico TF200 900ML Transfix;TF200900;1;258,57;258,57;Shopee Novo
212585;1;05/06/2026 08:08;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Cola Piso Vinílico E Emborrachado Ac10000 4KG;AC1000304;1;308,7;308,7;EOV - Mercado Livre;;IVA QUIMICA DO BRASIL LTDA;PROFIXX;;2;05/06/2026 14:36;Autorizada;Venda de mercadoria a não contribuinte;Verniz Madeira Wood Wood Verniz Pu 75 900ml;WVP0000900;1;275,86;275,86;Mercado Livre - Construlivre;VIP COLLECTION COMERCIO E DISTRIBUIDORA LTDA;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;Kit Umidade P - Smart Resina 900ML + Massa Acrílica 4KG + Manta Elástica Acqua Zero Branco 4KG;MA0440023;1;480;480;Shopee Novo
212586;1;05/06/2026 08:09;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosFMTFFP;Hobby Art Smart Resina 250ML;TSR0100025;1;72,23;72,23;Eov Shopee 2026;TSR0100025;IVA QUIMICA DO BRASIL LTDA;HOBBY ART;;1;06/06/2026 08:38;Emitida DANFE;Venda de mercadoria a não contribuinte;Selante Para Juntas Cimentícias Dw240 Flex 420g Cinza;SE2440142;1;153,73;153,73;Shopee - Construlivre;-;;1;05/06/2026 09:46;Emitida DANFE;Venda de mercadoria adquirida ou recebida de terceirosF;KIT LT Shine Acqua Shine 375g + Marmorite 4KG Branco + Resina 900ML;LTMRA03040;1;665,99;665,99;Shopee Novo
