COUNTUNIQUE de Pedido Id,Data - Ano-mês,,,,,,,
Produto - Nome,2025-dez.,2026-jan.,2026-fev.,2026-mar.,2026-abr.,2026-mai.,2026-jun.,Total geral
Selante para Juntas Cimentícias DW240 Flex 400g Branco,25,94,130,384,138,90,,861
Selante para Juntas Cimentícias DW240 Flex 400G - Cinza,,22,87,344,107,57,,617
"Smart Resina, 3-6L, Semi Brilho  Multiuso à Base de Água",59,33,39,53,34,27,2,247
Adesivo de Reparo para Pisos Elastment - SOS Piso 1KG,26,22,48,64,20,19,1,200
LT Shine Película Líquida Zero Mofo 900ML,23,28,26,35,24,39,5,180
Selante para Juntas Cimentícias DW240 Flex 420G - Preto,,,,89,38,19,,146
Umi Block Cristal 250ML,,12,36,17,41,28,,134
Massa Fina Seca Parede 20KG Branco,21,20,18,22,27,22,1,131
Smart Resina 900ML Semi Brilho 5 em 1 Impermeabilizante e Seladora - Alta Resistência à Água,14,12,21,24,18,34,,123
"Smart Resina, 900ML, Fosca  Sela, Impermeabiliza e Protege",10,21,18,21,29,20,1,120
"Drylevis, SOS Concreto, 1L  Impermeabilizante para Concreto e Argamassa",17,24,15,18,21,17,,112
Umi Block Cristal 1L,,9,36,19,25,20,,109
"Smart Resina, 3-6L, Fosca  Multiuso 6 em 1 | Sela, Protege e Regula Brilho, Uso Interno e Externo",25,10,17,32,17,8,,109
Sos Umidade Bisnaga  250G - Bege,14,15,9,28,19,19,,104
LT Shine Fixador de Pedras Soltas Hold Stone 5L,16,20,19,19,20,6,,100
Protelha Fast Tape Cristal,,,,52,41,5,,98
Verniz Madeira Wood Wood Verniz PU 75 900ML,15,22,12,9,9,25,1,93
Hobby Art Decora Pinta Tudo 250ML Branco,15,23,17,19,8,10,,92
"Cimento Autonivelante, 20KG, Cinza - Nivelamento Fácil para Pisos, Secagem Rápida",26,18,17,15,5,10,1,92
Aplicador de Silicone 9 Polegadas Sparta,,,,45,28,12,1,86
LT Shine Resina para Pedras Hold Stone Pro 5L,3,7,7,13,27,25,,82
"LT Shine Microcimento 4,5KG Branco",10,8,11,11,14,23,,77
Elastment Rapid Cure Crack Filler - Preenchedor de Trincas de Concreto em Pó 700G Concreto,22,11,8,11,19,6,,77
Massa Acrílica em Pó - Saco 20KG,12,13,11,17,16,7,,76
LT Shine Pigmento Uma Gota 50ML Preto,15,16,12,10,10,10,,73
LT Shine Grannistone Primer Promotor de Aderência 4KG Off White,10,10,13,10,12,13,,68
LT Shine Fixador de Pedras Hold Stone 1L,9,11,12,17,8,7,,64
Verniz para Madeira á Base Água PU 70 900ML,8,22,3,13,5,12,,63
Cola para Madeira Wood Wood 3 497G,8,13,2,19,9,11,1,63
"Umi Block Cristal 3,6L",1,1,11,34,7,6,,60
